Id,Nom_festival,Type,Region,Ville,Geocode,Annee,Site_internet,Genre_musique,Spectacle_vivant,Cinema_audiovisuel,Art,Livre_litterature
FEST_37011_550,Avoine Zone Groove,Musique,Centre-Val de Loire,Avoine,"47.2237767737, 0.18754463005",2000,www.avoinezonegroove.fr,"Jazz, Blues",,,,
FEST_78124_1288,Macki Music Festival,Musique,Île-de-France,Carrières-sur-Seine,"48.9119335064, 2.17838235323",2014,https://www.mackimusicfestival.fr/,"Musiques du monde, Musiques traditionnelles, RnB, Musiques électroniques, techno, Hip-hop, rap, slam, Pop, rock, Jazz, blues, Musique contemporaine",,,,
FEST_76410_3674,D'la samba dans les épinards,Musique,Normandie,Maromme,"49.4769434634, 1.03230514083",2019,https://www.dlasambadanslesepinards.com,,,,,
FEST_13055_3705,Des mots des étoiles,Spectacle vivant,Provence-Alpes-Côte d'Azur,Marseille,"43.296346, 5.369889",2003,https://desmotsdesetoiles.fr,,,,,
FEST_87107_4416,Imaginieul,Spectacle vivant,Nouvelle-Aquitaine,Nieul,"45.9214559183, 1.18018067279",2010,http://www.aurora-illusia.com/,,Théâtre,,,
FEST_08409_6297,Chiméria,"Arts visuels, arts numériques",Grand Est,Sedan,"49.697058875, 4.9298505244",2003,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiT4uvw9fjvAhV18uAKHQmkC88QFjABegQIAhAD&url=https%3A%2F%2Fwww.chimeria.org%2F&usg=AOvVaw1hVwVW3AsPf-ClL0GOMnLN,,,,Arts et sciences visionnaires,
FEST_36228_6870,Jazz aux chandelles,Musique,Centre-Val de Loire,Valençay,"47.1558433483, 1.55858540806",2019,https://www.chateau-valencay.fr/activite/jazz-aux-chandelles/,,,,,
FEST_06157_6961,Ciné-patrimoine,"Cinéma, audiovisuel",Provence-Alpes-Côte d'Azur,Vence,"43.7384640641, 7.10194436087",2018,https://www.marathondufilm.fr,,,"Court métrage, documentaire, film d'animation, film d'archives",,
FEST_13005_409,Les nuits flamencas d'aubagne,Spectacle vivant,Provence-Alpes-Côte d'Azur,Aubagne,"43.2934843764, 5.56331273477",2015,www.lesnuitsflamencas.fr,Musique du monde,,,,
FEST_24223_2919,Lire en Bastides,"Livre, littérature",Nouvelle-Aquitaine,Lalinde,"44.8557735546, 0.74158538401",2017,WWW.festival-lireenbastides-lalinde.com,,,,,
FEST_13055_3681,Acontraluz,Musique,Provence-Alpes-Côte d'Azur,Marseille,"43.296346, 5.369889",2015,www.acontraluz.fr,"Musiques électroniques, techno",,,,
FEST_13055_3740,Les heures bleues,Musique,Provence-Alpes-Côte d'Azur,Marseille,"43.296346, 5.369889",2019,https://lesheuresbleues.fr/,Musiques du monde,,,,
FEST_54395_4272,Stéréolithe,Musique,Grand Est,Nancy,"48.6901995499, 6.17588254434",2014,www.asso-monolithe.fr,"Musiques traditionnelles, Musiques électroniques, techno, Pop, rock, musiques expérimentales",,,,
FEST_12212_5668,Festival et rencontres de musique de chambre du Larzac,Musique,Occitanie,Saint-Beaulize,"43.9061421509, 3.10001497795",2005,http://festivaldularzac.com/ledition-2021/,"Musique classique, musique contemporaine, musique lyrique",,,,
FEST_44184_6065,Les Rencontres de danse aérienne,Spectacle vivant,Pays de la Loire,Saint-Nazaire,"47.2802857028, -2.25379927249",2009,www.lesrencontresdedanseaerienne.com,,"Cirque, Arts de la rue",,,
FEST_24291_4043,Festival du Périgord Noir,Musique,Nouvelle-Aquitaine,Montignac,"45.0627368774, 1.15422675286",1983,http://www.festivalmusiqueperigordnoir.com/,Musiques classiques et savantes,,,,
FEST_13004_341,Cosmos Arles books,"Arts visuels, arts numériques",Provence-Alpes-Côte d'Azur,Arles,"43.5468692378, 4.66215642574",2009,www.cosmosarlesbooks.com,,,,Photographie,
FEST_53062_1531,V and B Fest',Musique,Pays de la Loire,Château-Gontier-sur-Mayenne,"47.8290067122, -0.738721767875",2019,www.vandbfest.fr,,,,,
