Id,Processed_nom_festival,Processed_Type,Processed_Region,Processed_Ville,Annee,Procced_musique,Processed_Spectacle_vivant,Processed_Cinema_audiovisuel,Processed_Livre_litterature,Geocode,Site_internet
FEST_37011_550,avoine zone groove,musique,centre-val loire,avoine,2000,"jazz , blues",,,,"47.2237767737, 0.18754463005",www.avoinezonegroove.fr
FEST_78124_1288,macki music festival,musique,île-de-france,carrières-sur-seine,2014,"musiques monde , musiques traditionnelles , rnb , musiques électroniques , techno , hip-hop , rap , slam , pop , rock , jazz , blues , musique contemporaine",,,,"48.9119335064, 2.17838235323",https://www.mackimusicfestival.fr/
FEST_76410_3674,d'la samba épinards,musique,normandie,maromme,2019,,,,,"49.4769434634, 1.03230514083",https://www.dlasambadanslesepinards.com
FEST_13055_3705,mots étoiles,spectacle vivant,provence-alpes-côte d'azur,marseille,2003,,,,,"43.296346, 5.369889",https://desmotsdesetoiles.fr
FEST_87107_4416,imaginieul,spectacle vivant,nouvelle-aquitaine,nieul,2010,,théâtre,,,"45.9214559183, 1.18018067279",http://www.aurora-illusia.com/
FEST_08409_6297,chiméria,"arts visuels , arts numériques",grand,sedan,2003,,,,,"49.697058875, 4.9298505244",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiT4uvw9fjvAhV18uAKHQmkC88QFjABegQIAhAD&url=https%3A%2F%2Fwww.chimeria.org%2F&usg=AOvVaw1hVwVW3AsPf-ClL0GOMnLN
FEST_36228_6870,jazz chandelles,musique,centre-val loire,valençay,2019,,,,,"47.1558433483, 1.55858540806",https://www.chateau-valencay.fr/activite/jazz-aux-chandelles/
FEST_06157_6961,ciné-patrimoine,"cinéma , audiovisuel",provence-alpes-côte d'azur,vence,2018,,,"court métrage , documentaire , film d'animation , film d'archives",,"43.7384640641, 7.10194436087",https://www.marathondufilm.fr
FEST_13005_409,nuits flamencas d'aubagne,spectacle vivant,provence-alpes-côte d'azur,aubagne,2015,musique monde,,,,"43.2934843764, 5.56331273477",www.lesnuitsflamencas.fr
FEST_24223_2919,lire bastides,"livre , littérature",nouvelle-aquitaine,lalinde,2017,,,,,"44.8557735546, 0.74158538401",WWW.festival-lireenbastides-lalinde.com
FEST_13055_3681,acontraluz,musique,provence-alpes-côte d'azur,marseille,2015,"musiques électroniques , techno",,,,"43.296346, 5.369889",www.acontraluz.fr
FEST_13055_3740,heures bleues,musique,provence-alpes-côte d'azur,marseille,2019,musiques monde,,,,"43.296346, 5.369889",https://lesheuresbleues.fr/
FEST_54395_4272,stéréolithe,musique,grand,nancy,2014,"musiques traditionnelles , musiques électroniques , techno , pop , rock , musiques expérimentales",,,,"48.6901995499, 6.17588254434",www.asso-monolithe.fr
FEST_12212_5668,festival rencontres musique chambre larzac,musique,occitanie,saint-beaulize,2005,"musique classique , musique contemporaine , musique lyrique",,,,"43.9061421509, 3.10001497795",http://festivaldularzac.com/ledition-2021/
FEST_44184_6065,rencontres danse aérienne,spectacle vivant,pays loire,saint-nazaire,2009,,"cirque , arts rue",,,"47.2802857028, -2.25379927249",www.lesrencontresdedanseaerienne.com
FEST_24291_4043,festival périgord noir,musique,nouvelle-aquitaine,montignac,1983,musiques classiques savantes,,,,"45.0627368774, 1.15422675286",http://www.festivalmusiqueperigordnoir.com/
FEST_13004_341,cosmos arles books,"arts visuels , arts numériques",provence-alpes-côte d'azur,arles,2009,,,,,"43.5468692378, 4.66215642574",www.cosmosarlesbooks.com
FEST_53062_1531,v b fest ',musique,pays loire,château-gontier-sur-mayenne,2019,,,,,"47.8290067122, -0.738721767875",www.vandbfest.fr
FEST_06024_1071,mandopolis festival,musique,provence-alpes-côte d'azur,briançonnet,2004,musiques monde,,,,"43.8649498097, 6.74501344628",mandopolis.org
FEST_73073_1461,batôjazz,musique,auvergne-rhône-alpes,chanaz,2015,"jazz , blues , musiques monde , musiques traditionnelles",,,,"45.8034782998, 5.79654546056",https://www.batojazz.com/
FEST_74140_2539,rock'n poche festival,musique,auvergne-rhône-alpes,habère-poche,1992,"chanson variété française , hip-hop , rap , slam , musiques monde , musiques électroniques , techno , pop , rock",,,,"46.2555235551, 6.47324374853",www.rocknpoche.com
FEST_13021_1294,carry culture loisirs,musique,provence-alpes-côte d'azur,carry-le-rouet,2014,"jazz , blues",,,,"43.3427663021, 5.15373765817",carrycultureloisirs.festival.com
FEST_46201_4010,festival chanson texte montcuq-en-quercy-blanc,musique,occitanie,montcuq-en-quercy-blanc,2005,,,,,"44.335497631, 1.21192283879",http://www.festichanson-montcuq.com/
FEST_36100_3474,continu,musique,centre-val loire,lourouer-saint-laurent,2014,"musiques monde , musiques traditionnelles , musiques actuelles d'influence traditionnelle",,,,"46.6194091093, 2.01790100072",www.lesoncontinu.fr
FEST_75101_4735,jazz vocal,musique,île-de-france,paris,01/01/1996 00:00,musiques actuelles,,,,"48.8626304852, 2.33629344655",http://www.sunset-sunside.com
FEST_46102_2219,festival théâtre figeac,spectacle vivant,occitanie,figeac,2001,,,,,"44.6055314625, 2.02540303775",www.scenograph.fr
FEST_82121_3983,montauban scènes,musique,occitanie,montauban,2015,,,,,"44.0222594578, 1.36408636501",https://www.montauban-en-scenes.fr/
FEST_13055_3683,africa fête,musique,provence-alpes-côte d'azur,marseille,2005,musiques monde,,,,"43.296346, 5.369889",www.africafete.com
FEST_75116_4777,solistes bagatelle,musique,île-de-france,paris,2000,"musique contemporaine , musique classique",,,,"48.8603987604, 2.2620995594",www.ars-mobilis.fr
FEST_83069_5181,jazz porquerolles,musique,provence-alpes-côte d'azur,porquerolles,2001,"jazz , blues , musiques monde",,,,"43.1018713534, 6.18898508469",www.jazzaporquerolles.org
FEST_79329_6572,arts'oses,musique,nouvelle-aquitaine,thouars,2009,musiques actuelles,,,,"46.9828628407, -0.199581467021",http://fr-fr.facebook.com/Les-ArtsOs%C3%A9s-137470453126905/
FEST_18279_7061,estivals canal vierzon,musique,centre-val loire,vierzon,2008,"rock , chanson française , reggae",,,,"47.2368836077, 2.0790757049",www.ville-vierzon.fr/estivlales
FEST_17434_6486,surgères brass band festival,musique,nouvelle-aquitaine,surgères,2016,musiques actuelles,,,,"46.1044773827, -0.753715269757",http://surgeresbrassfestival.com
FEST_01142_1916,dagneux aime musique,musique,auvergne-rhône-alpes,dagneux,2017,"pop , rock",,,,"45.8531616918, 5.07289166803",https://dagneux-aime-la-musique.blogspot.com
FEST_07338_7000,jazz vivarais,musique,auvergne-rhône-alpes,vernoux-en-vivarais,2007,"jazz , blues",,,,"44.9051558168, 4.64438568731",www.jazzenvivarais.com
FEST_03138_2987,"lapalisse , terre hommes",spectacle vivant,auvergne-rhône-alpes,lapalisse,2016,,théâtre,,,"46.264846808, 3.63838425184",https://www.spectacle-lapalisse.com/
FEST_83126_2893,festival cubain bayamo,musique,provence-alpes-côte d'azur,seyne-sur-mer,2000,musiques monde,,,,"43.0880294967, 5.87089841754",bayamo.fr
FEST_34172_4079,family piknik festivals,musique,occitanie,montpellier,2012,"musiques actuelles , musiques amplifiées électroniques",,,,"43.6134409138, 3.86851657896",www.familypiknikfestival.com/
FEST_21464_4488,sons d'une nuits d'été,musique,bourgogne-franche-comté,nuits-saint-georges,2005,"chanson variété française , jazz , blues , pop , rock , variétés internationales",,,,"47.146518392, 4.9385500417",www.festivalnuits.fr
FEST_44109_4308,scènes vagabondes,musique,pays loire,nantes,2015,,,,,"47.2316356767, -1.54831008605",http://www.nantes.fr/scenesvagabondes
FEST_75103_4783,loud & proud,musique,île-de-france,paris,01/01/2015 00:00,musiques actuelles,,,,"48.8567, 2.3508",https://gaite-lyrique.net
FEST_26362_6881,champ !,musique,auvergne-rhône-alpes,valence,2015,"chanson variété française , jazz , blues , hip-hop , rap , slam , musique classique , musiques monde , musiques électroniques , techno , musiques traditionnelles , pop , rock , rnb , variétés internationales",,,,"44.9229811667, 4.91444013136",http://www.festival-surlechamp.fr/
FEST_30296_6156,romanesques,spectacle vivant,occitanie,saint-roman-de-codières,2016,,,,,"44.0123424811, 3.77355392484",https://lesromanesques.fr/?PagePrincipale
FEST_84081_4169,festival vents,musique,provence-alpes-côte d'azur,avignon,2002,chanson ; jazz ; jazz manouche ; musique classique ; musiques films ; musiques monde ; musiques traditionnelles,,,,"43.9337788848, 4.90875878315",www.festivaldesvents.com
FEST_71137_1714,jazz campus clunisois,musique,bourgogne-franche-comté,cluny,1977,"jazz , blues",,,,"46.4303628582, 4.67033276327",www.jazzcampus.fr
FEST_30037_787,watt funk,musique,occitanie,bessèges,2018,funk,,,,"44.290395291, 4.10784015546",https://federationuniversellefunk.wordpress.com/festival/
FEST_22055_825,binic folks blues festival,musique,bretagne,binic-étables-sur-mer,2009,"musiques actuelles ( blues , rock alternatif & indépendant )",,,,"48.6255350477, -2.8413899481",https://lanefdfous.fr/
FEST_02406_2951,béguéé fest ',musique,hauts-de-france,landricourt,2015,,,,,"49.505420346, 3.36950507041",https://www.facebook.com/begueefest
FEST_58168_3923,vent l'arbre,musique,bourgogne-franche-comté,millay,2001,"musique classique , musique contemporaine",,,,"46.8347484024, 3.99024145825",www.leventsurlarbre.fr
FEST_29151_4174,rues scène,musique,bretagne,morlaix,2011,,arts rue,,,"48.5996746612, -3.82052019963",www.espace-roudour.com
FEST_75106_4643,cinéma ( ) d'iran,"cinéma , audiovisuel",île-de-france,paris,2014,,,"fiction long métrage , court métrage , documentaire , film d'animation",,"48.8489680919, 2.33267089859",cinemasdiran.fr
FEST_02589_4604,festisis,spectacle vivant,hauts-de-france,pargny-filain,2011,,arts cirque,,,"49.4629055692, 3.53929108659",https://www.compagnieisis.fr/
FEST_10289_5041,festival rock celtique,musique,grand,plancy-l'abbaye,01/01/2008 00:00,musiques amplifiées électroniques,,,,"48.5851575322, 3.98528853809",www.festivalrockceltique.fr
